dwt_denoise_wavelet,dwt_threshold,dwt_multi_wavelet,model,test_acc
haar,0.3,haar,svc,0.8851626016260162
haar,0.3,none,dtc,0.2484756097560976
haar,0.3,none,gbc,0.08943089430894309
haar,0.3,none,kerasnn,0.14329268038272858
haar,0.3,none,knc,0.007621951219512195
haar,0.3,none,logreg,0.08739837398373984
haar,0.3,none,nn,0.1880081300813008
haar,0.3,none,rfc,0.2886178861788618
haar,0.3,none,svc,0.19054878048780488
haar,0.3,sym4,dtc,0.8160569105691057
haar,0.3,sym4,gbc,0.8790650406504065
haar,0.3,sym4,kerasnn,0.8866869807243347
haar,0.3,sym4,knc,0.6112804878048781
haar,0.3,sym4,logreg,0.8902439024390244
haar,0.3,sym4,nn,0.1880081300813008
haar,0.3,sym4,rfc,0.8826219512195121
haar,0.3,sym4,svc,0.8480691056910569
median,0.2,coif4,dtc,0.8607723577235772
median,0.2,coif4,gbc,0.9308943089430894
median,0.2,coif4,kerasnn,0.8546748161315918
median,0.2,coif4,knc,0.6814024390243902
median,0.2,coif4,logreg,0.9222560975609756
median,0.2,coif4,nn,0.1880081300813008
median,0.2,coif4,rfc,0.929878048780488
median,0.2,coif4,svc,0.7550813008130082
median,0.2,db4,dtc,0.8714430894308943
median,0.2,db4,gbc,0.9405487804878048
median,0.2,db4,kerasnn,0.9329268336296082
median,0.2,db4,knc,0.6178861788617886
median,0.2,db4,logreg,0.9385162601626016
median,0.2,db4,nn,0.1880081300813008
median,0.2,db4,rfc,0.9303861788617886
median,0.2,db4,svc,0.8734756097560976
median,0.2,dmey,dtc,0.8602642276422764
median,0.2,dmey,gbc,0.9293699186991871
median,0.2,dmey,kerasnn,0.8729674816131592
median,0.2,dmey,knc,0.7225609756097561
median,0.2,dmey,logreg,0.9202235772357724
median,0.2,dmey,nn,0.1880081300813008
median,0.2,dmey,rfc,0.9314024390243902
median,0.2,dmey,svc,0.7835365853658537
median,0.2,haar,dtc,0.8841463414634146
median,0.2,haar,gbc,0.9466463414634146
median,0.2,haar,kerasnn,0.9014227390289308
median,0.2,haar,knc,0.7835365853658537
median,0.2,haar,logreg,0.9364837398373984
median,0.2,haar,nn,0.902439024390244
median,0.2,haar,rfc,0.9435975609756098
median,0.2,haar,svc,0.9136178861788616
median,0.2,none,dtc,0.8501016260162602
median,0.2,none,gbc,0.9212398373983741
median,0.2,none,kerasnn,0.8628048896789551
median,0.2,none,knc,0.7433943089430894
median,0.2,none,logreg,0.9339430894308944
median,0.2,none,nn,0.6585365853658537
median,0.2,none,rfc,0.9217479674796748
median,0.2,none,svc,0.8485772357723578
median,0.2,sym4,dtc,0.8495934959349594
median,0.2,sym4,gbc,0.9415650406504064
median,0.2,sym4,kerasnn,0.9334349632263184
median,0.2,sym4,knc,0.5401422764227642
median,0.2,sym4,logreg,0.9425813008130082
median,0.2,sym4,nn,0.1880081300813008
median,0.2,sym4,rfc,0.9334349593495936
median,0.2,sym4,svc,0.8592479674796748
noisy,0.2,coif4,dtc,0.8668699186991871
noisy,0.2,coif4,gbc,0.929878048780488
noisy,0.2,coif4,kerasnn,0.8709349632263184
noisy,0.2,coif4,knc,0.6661585365853658
noisy,0.2,coif4,logreg,0.9278455284552846
noisy,0.2,coif4,nn,0.1880081300813008
noisy,0.2,coif4,rfc,0.9293699186991871
noisy,0.2,coif4,svc,0.7555894308943092
noisy,0.2,db4,dtc,0.8810975609756098
noisy,0.2,db4,gbc,0.9405487804878048
noisy,0.2,db4,kerasnn,0.922764241695404
noisy,0.2,db4,knc,0.6204268292682927
noisy,0.2,db4,logreg,0.9441056910569106
noisy,0.2,db4,nn,0.18953252032520326
noisy,0.2,db4,rfc,0.9354674796747968
noisy,0.2,db4,svc,0.8780487804878049
noisy,0.2,dmey,dtc,0.8775406504065041
noisy,0.2,dmey,gbc,0.9364837398373984
noisy,0.2,dmey,kerasnn,0.8495935201644897
noisy,0.2,dmey,knc,0.7306910569105691
noisy,0.2,dmey,logreg,0.923780487804878
noisy,0.2,dmey,nn,0.1880081300813008
noisy,0.2,dmey,rfc,0.9268292682926829
noisy,0.2,dmey,svc,0.7972560975609756
noisy,0.2,haar,dtc,0.8902439024390244
noisy,0.2,haar,gbc,0.9415650406504064
noisy,0.2,haar,kerasnn,0.8963414430618286
noisy,0.2,haar,knc,0.7723577235772358
noisy,0.2,haar,logreg,0.9364837398373984
noisy,0.2,haar,nn,0.8836382113821138
noisy,0.2,haar,rfc,0.9405487804878048
noisy,0.2,haar,svc,0.9095528455284552
noisy,0.2,none,dtc,0.8465447154471545
noisy,0.2,none,gbc,0.9354674796747968
noisy,0.2,none,kerasnn,0.1356707364320755
noisy,0.2,none,knc,0.7515243902439024
noisy,0.2,none,logreg,0.14634146341463414
noisy,0.2,none,nn,0.1880081300813008
noisy,0.2,none,rfc,0.9268292682926829
noisy,0.2,none,svc,0.8775406504065041
noisy,0.2,sym4,dtc,0.8323170731707317
noisy,0.2,sym4,gbc,0.9471544715447154
noisy,0.2,sym4,kerasnn,0.920223593711853
noisy,0.2,sym4,knc,0.5315040650406504
noisy,0.2,sym4,logreg,0.9466463414634146
noisy,0.2,sym4,nn,0.1880081300813008
noisy,0.2,sym4,rfc,0.9339430894308944
noisy,0.2,sym4,svc,0.8617886178861789
sym4,0.2,coif4,dtc,0.8358739837398373
sym4,0.2,coif4,gbc,0.8877032520325203
sym4,0.2,coif4,kerasnn,0.8678861856460571
sym4,0.2,coif4,knc,0.5320121951219512
sym4,0.2,coif4,logreg,0.8973577235772358
sym4,0.2,coif4,nn,0.1880081300813008
sym4,0.2,coif4,rfc,0.8866869918699187
sym4,0.2,coif4,svc,0.6986788617886179
sym4,0.2,db4,dtc,0.8445121951219512
sym4,0.2,db4,gbc,0.8897357723577236
sym4,0.2,db4,kerasnn,0.9019308686256408
sym4,0.2,db4,knc,0.6554878048780488
sym4,0.2,db4,logreg,0.9207317073170732
sym4,0.2,db4,nn,0.1880081300813008
sym4,0.2,db4,rfc,0.8805894308943092
sym4,0.2,db4,svc,0.8419715447154471
sym4,0.2,dmey,dtc,0.8389227642276422
sym4,0.2,dmey,gbc,0.9014227642276422
sym4,0.2,dmey,kerasnn,0.8617886304855347
sym4,0.2,dmey,knc,0.573170731707317
sym4,0.2,dmey,logreg,0.8998983739837398
sym4,0.2,dmey,nn,0.1880081300813008
sym4,0.2,dmey,rfc,0.8907520325203252
sym4,0.2,dmey,svc,0.7296747967479674
sym4,0.2,haar,dtc,0.8567073170731707
sym4,0.2,haar,gbc,0.9049796747967479
sym4,0.2,haar,kerasnn,0.8821138143539429
sym4,0.2,haar,knc,0.7439024390243902
sym4,0.2,haar,logreg,0.9161585365853658
sym4,0.2,haar,nn,0.9151422764227642
sym4,0.2,haar,rfc,0.9115853658536586
sym4,0.2,haar,svc,0.9115853658536586
sym4,0.2,none,dtc,0.8277439024390244
sym4,0.2,none,gbc,0.8836382113821138
sym4,0.2,none,kerasnn,0.7850610017776489
sym4,0.2,none,knc,0.6559959349593496
sym4,0.2,none,logreg,0.9004065040650406
sym4,0.2,none,nn,0.4583333333333333
sym4,0.2,none,rfc,0.8932926829268293
sym4,0.2,none,svc,0.7906504065040649
sym4,0.2,sym4,dtc,0.8541666666666666
sym4,0.2,sym4,gbc,0.8978658536585366
sym4,0.2,sym4,kerasnn,0.8871951103210449
sym4,0.2,sym4,knc,0.6168699186991871
sym4,0.2,sym4,logreg,0.9136178861788616
sym4,0.2,sym4,nn,0.1880081300813008
sym4,0.2,sym4,rfc,0.8932926829268293
sym4,0.2,sym4,svc,0.8155487804878049
sym4,0.3,coif4,dtc,0.8333333333333334
sym4,0.3,coif4,gbc,0.8897357723577236
sym4,0.3,coif4,kerasnn,0.855182945728302
sym4,0.3,coif4,knc,0.5208333333333334
sym4,0.3,coif4,logreg,0.8831300813008129
sym4,0.3,coif4,nn,0.1880081300813008
sym4,0.3,coif4,rfc,0.8892276422764228
sym4,0.3,coif4,svc,0.6834349593495935
sym4,0.3,db4,dtc,0.8257113821138211
sym4,0.3,db4,gbc,0.8882113821138211
sym4,0.3,db4,kerasnn,0.9126016497612
sym4,0.3,db4,knc,0.6473577235772358
sym4,0.3,db4,logreg,0.9105691056910568
sym4,0.3,db4,nn,0.1880081300813008
sym4,0.3,db4,rfc,0.8866869918699187
sym4,0.3,db4,svc,0.8135162601626016
sym4,0.3,dmey,dtc,0.8414634146341463
sym4,0.3,dmey,gbc,0.9019308943089432
sym4,0.3,dmey,kerasnn,0.8252032399177551
sym4,0.3,dmey,knc,0.5584349593495935
sym4,0.3,dmey,logreg,0.9009146341463414
sym4,0.3,dmey,nn,0.1880081300813008
sym4,0.3,dmey,rfc,0.8846544715447154
sym4,0.3,dmey,svc,0.7159552845528455
sym4,0.3,haar,dtc,0.8328252032520326
sym4,0.3,haar,gbc,0.9065040650406504
sym4,0.3,haar,kerasnn,0.8816056847572327
sym4,0.3,haar,knc,0.7530487804878049
sym4,0.3,haar,logreg,0.9192073170731708
sym4,0.3,haar,nn,0.8968495934959351
sym4,0.3,haar,rfc,0.9049796747967479
sym4,0.3,haar,svc,0.8892276422764228
sym4,0.3,none,dtc,0.06504065040650407
sym4,0.3,none,gbc,0.009654471544715448
sym4,0.3,none,kerasnn,0.08587398380041122
sym4,0.3,none,knc,0.10264227642276423
sym4,0.3,none,logreg,0.001524390243902439
sym4,0.3,none,nn,0.1880081300813008
sym4,0.3,none,rfc,0.047764227642276426
sym4,0.3,none,svc,0.014227642276422762
sym4,0.3,sym4,dtc,0.8389227642276422
sym4,0.3,sym4,gbc,0.8866869918699187
sym4,0.3,sym4,kerasnn,0.8709349632263184
sym4,0.3,sym4,knc,0.6051829268292683
sym4,0.3,sym4,logreg,0.9085365853658536
sym4,0.3,sym4,nn,0.1880081300813008
sym4,0.3,sym4,rfc,0.8902439024390244
sym4,0.3,sym4,svc,0.8008130081300813
